ĀQ	阿Q
zhōngguóyāncǎozǒng	中国烟草总
Zhōngguó Yāncǎo Zǒnggōngsī	中国烟草总公司
Zhōngguó Yínháng	中国银行
zhōngguózhèngfǔ	中国政府
zhōngguózhuānlìjú	中国专利局
zhōnghào	中号
zhōnghé	中和
zhōnghézuòyòng	中和作用
zhōnghòuqī	中后期
Zhōnghuá	中华
Zhōnghuá Mínzú	中华民族
zhōnghuáquánguó	中华全国
Zhōnghuá Quánguó Zǒnggōnghuì	中华全国总工会
Zhōnghuá Rénmín Gònghéguó	中华人民共和国
zhōngjí	中级
zhōngjífǎyuàn	中级法院
zhōngjízhíchēng	中级职称
zhōngjìwěi	中纪委
zhōngjì	中继
zhōngjiān	中坚
zhōngjiān	中间
zhōngjiāncéng	中间层
zhōngjiānhuánjié	中间环节
zhōngjiānpài	中间派
zhōngjiānrén	中间人
zhōngjiānshāng	中间商
zhōngjiāntǐ	中间体
zhōngjiānxiàn	中间线
zhōngjiānzhóu	中间轴
zhōngjiàng	中将
zhòngjiǎng	中奖
zhōngjiè	中介
zhōngkàn	中看
zhōngkēyuàn	中科院
zhòngkěn	中肯
zhōngkōng	中空
zhōnglǎonián	中老年
zhōnglì	中立
zhōngliánbù	中联部
zhōngliàngjí	中量级
zhōngliú	中流
zhōngliúdǐzhù	中流砥柱
zhōngliújījí	中流击楫
zhōngluò	中落
zhōngmài	中脉
zhōngměi	中美
zhōngměizhōu	中美洲
zhōngnán	中南
Zhōngnánhǎi	中南海
zhōngnián	中年
zhōngniánrén	中年人
Zhōngōu	中欧
zhōngpán	中盘
zhōngpiānxiǎoshuō	中篇小说
zhōngpū	中铺
zhōngqī	中期
zhōngqīngnián	中青年
zhōngshāqúndǎo	中沙群岛
zhōngshān	中山
zhōngshāndàxué	中山大学
zhōngshānfú	中山服
zhōngshàngcéng	中上层
zhōngshì	中式
zhōngshūshěrén	中书舍人
zhōngshū	中枢
zhōngtàngāng	中碳钢
zhōngtíqín	中提琴
zhōngtú	中途
zhōngwài	中外
zhōngwàihézī	中外合资
zhōngwàihézīqǐyè	中外合资企业
zhōngwěidù	中纬度
zhōngwèishù	中位数
zhōngwén	中文
zhōngwǔ	中午
zhōngxī	中西
zhōngxīhébì	中西合壁
zhōngxīhébì	中西合璧
zhōngxīyī	中西医
zhōngxià	中下
zhōngxiàxún	中下旬
zhōngxiàyóu	中下游
zhōngxiǎo	中小
zhōngxiǎoqǐyè	中小企业
zhōngxiǎoxíng	中小型
zhōngxiǎoxué	中小学
zhōngxiǎoxuéshēng	中小学生
zhōngxiǎoxuéxiào	中小学校
zhōngxiào	中校
zhōngxié	中邪
zhōngxīn	中心
zhōngxīnchéngshì	中心城市
zhōngxīnduìchèn	中心对称
zhōngxīnjiǎo	中心角
zhōngxīnrènwù	中心任务
zhōngxīnsīxiǎng	中心思想
zhōngxīnyǔ	中心语
zhōngxīng	中兴
zhōngxíng	中型
zhōngxìng	中性
zhōngxuānbù	中宣部
zhòngxuǎn	中选
zhōngxué	中学
zhōngxuéshēng	中学生
zhōngxún	中旬
zhōngyā	中压
zhōngyà	中亚
zhōngyāng	中央
zhōngyāngbàngōngtīng	中央办公厅
zhōngyāngdiànshìtái	中央电视台
zhōngyāngduìwài	中央对外
zhōngyāngduìwàiliánluòbù	中央对外联络部
zhōngyānggèbùwěi	中央各部委
zhōngyānggùwènwěiyuánhuì	中央顾问委员会
zhōngyāngjìlǜjiǎncháwěiyuánhuì	中央纪律检查委员会
zhōngyāngjìwěi	中央纪委
zhōngyāngjūnshìwěiyuánhuì	中央军事委员会
zhōngyāngjūnwěi	中央军委
zhōngyāngkōngtiáo	中央空调
zhōngyāngqìxiàngtái	中央气象台
zhōngyāngquánhuì	中央全会
zhōngyāngrénmínguǎngbōdiàntái	中央人民广播电台
zhōngyāngshūjìchù	中央书记处
zhōngyāngtǒngzhànbù	中央统战部
zhōngyāngwěiyuán	中央委员
zhōngyāngwěiyuánhuì	中央委员会
zhōngyāngwénjiàn	中央文件
zhōngyāngxuānchuánbù	中央宣传部
zhōngyāngyínháng	中央银行
zhōngyāngzhèngfǔ	中央政府
zhōngyāngzhèngzhìjú	中央政治局
zhōngyāngzǔzhībù	中央组织部
zhōngyào	中药
zhōngyè	中叶
zhōngyī	中医
zhōngyīyào	中医药
zhòngyì	中意
zhōngyīngliánhéshēngmíng	中英联合声明
zhōngyōngzhīdào	中庸之道
zhōngyóu	中游
zhōngyǔ	中雨
zhōngyuán	中原
zhōngyuánzhúlù	中原逐鹿
zhōngyuǎnqī	中远期
zhōngzhí	中直
zhōngzhǐ	中止
zhōngzhǐ	中指
zhōngzhuān	中专
zhōngzhuǎn	中转
zhōngzhuǎnzhàn	中转站
zhōngzǐdàn	中子弹
zhōngzǔbù	中组部
zhōngchéng	忠诚
zhōnggānyìdǎn	忠肝义胆
zhōnggào	忠告
zhōnggǔ	忠骨
zhōnghòu	忠厚
zhōngliáng	忠良
zhōngliè	忠烈
zhōngshí	忠实
zhōngxīn	忠心
zhōngxīngěnggěng	忠心耿耿
zhōngyánnìěr	忠言逆耳
zhōngyánnìěrlìyúxíng	忠言逆耳利于行
zhōngyú	忠于
zhōngyúzhíshǒu	忠于职守
zhōngzhēn	忠贞
zhōngzhēnbùyú	忠贞不渝
zhōngchǎng	终场
zhōngdiǎn	终点
zhōngduān	终端
zhōngguī	终归
zhōngjiāng	终将
zhōngjié	终结
zhōngjiéfú	终结符
zhōngjiézhě	终结者
zhōngjiū	终究
zhōngjú	终局
zhōngliǎo	终了
zhōngnánjiéjìng	终南捷径
zhōngnián	终年
zhōngrì	终日
zhōngshēn	终身
zhōngshēndàshì	终身大事
zhōngshěn	终审
zhōngshēng	终生
zhōngtiānzhīhèn	终天之恨
zhōngyú	终于
zhōngzhǐ	终止
zhōngài	钟爱
zhōngbiǎo	钟表
zhōnglíngyùxiù	钟灵毓秀
zhōngmíngdǐngshí	钟鸣鼎食
zhōngqíng	钟情
zhōngrǔshí	钟乳石
zhōngtóu	钟头
zhōngcháng	衷肠
zhōngqíng	衷情
zhōngqǔ	衷曲
zhōngxīn	衷心
zhǒngdà	肿大
zhǒnggǔlù	肿骨鹿
zhǒngliú	肿瘤
zhǒngzhàng	肿胀
zhǒngbié	种别
zhòngcài	种菜
zhǒngcǎo	种草
zhǒngchà	种差
zhòngdì	种地
zhòngdòudédòu	种豆得豆
zhòngdòu	种痘
zhǒngféi	种肥
zhòngguādéguā	种瓜得瓜
zhònghuā	种花
zhǒnglèi	种类
zhǒngmá	种麻
zhǒngmǎ	种马
zhǒngmiáo	种苗
zhǒngniú	种牛
zhǒngniúdòu	种牛痘
zhǒngpí	种皮
zhǒngqí	种脐
zhǒngqín	种禽
zhǒngqún	种群
zhǒngrén	种仁
zhǒngshàng	种上
zhǒngshù	种树
zhòngtián	种田
chóngxìng	种姓
zhǒngchù	种畜
zhǒngyáng	种羊
zhǒngyǎng	种养
zhǒngyú	种鱼
zhǒngyuán	种源
zhòngzhí	种植
zhòngzhíchǎng	种植场
zhòngzhíyè	种植业
zhòngzhíyuán	种植园
zhǒngzhì	种质
zhǒngzhǒng	种种
zhǒngzhū	种猪
zhǒngzi	种子
zhǒngzidì	种子地
zhǒngziduì	种子队
zhǒngzitián	种子田
zhǒngzixuǎnshǒu	种子选手
zhǒngzú	种族
zhǒngzúgélí	种族隔离
zhǒngzúqíshì	种族歧视
zhǒngzúzhǔyì	种族主义
zhǒngshìzēnghuá	踵事增华
zhòngcái	仲裁
zhòngduō	众多
zhòngguǎbùdí	众寡不敌
zhòngguǎxuánshū	众寡悬殊
zhòngkǒunántiáo	众口难调
zhòngkǒushuòjīn	众口铄金
zhòngkǒuyīcí	众口一词
zhòngmù	众目
zhòngmùkuíkuí	众目睽睽
zhòngmùzhāozhāng	众目昭彰
zhòngmùzhāozhù	众目昭著
zhòngnùnánfàn	众怒难犯
zhòngpànqīnlí	众叛亲离
zhòngqíngyìjǔ	众擎易举
zhòngrén	众人
zhòngrénshícháihuǒyàngāo	众人拾柴火焰高
zhòngshǐzhīdì	众矢之的
zhòngshù	众数
zhòngshuō	众说
zhòngshuōfēnyún	众说纷纭
zhòngsuǒzhōuzhī	众所周知
zhòngwàng	众望
zhòngwàngsuǒguī	众望所归
zhòngxīngpěngyuè	众星捧月
zhòngzhìchéngchéng	众志成城
chóngbǎn	重版
zhòngbàn	重办
chóngbànwèi	重瓣胃
zhòngbàng	重磅
zhòngbì	重臂
zhòngbīng	重兵
zhòngbìng	重病
chóngbō	重播
zhòngcǎi	重彩
chóngcāojiùyè	重操旧业
zhòngchá	重茬
chóngchàng	重唱
zhòngchén	重臣
zhòngchéng	重惩
zhòngchuán	重传
zhòngchuāng	重创
zhòngchuí	重锤
zhòngcuò	重挫
zhòngdà	重大
zhòngdàshìgù	重大事故
zhòngdàn	重担
chóngtán	重弹
chóngdǎofùzhé	重蹈覆辙
zhòngdì	重地
zhòngdiǎn	重点
zhòngdiào	重调
zhòngdié	重迭
chóngdié	重叠
zhòngdìngxiàng	重定向
zhòngdú	重读
zhòngfā	重发
zhòngfá	重罚
chóngfǎn	重返
zhòngfàn	重犯
chóngfàng	重放
chóngféng	重逢
zhòngfù	重负
chóngfù	重复
chóngfùxìng	重复性
zhòngfùqīpín	重富欺贫
zhònggāng	重钢
zhònggōngyè	重工业
zhònggòu	重构
chóngguāng	重光
zhòngguǐ	重轨
chónghé	重合
zhònghè	重荷
zhònghuà	重话
chónghūn	重婚
chónghūnzuì	重婚罪
zhònghuó	重活
zhòngjīguānqiāng	重机关枪
zhòngjīqiāng	重机枪
zhòngjià	重价
chóngjiàntiānrì	重见天日
chóngjiàn	重建
zhòngjiàn	重剑
zhòngjiǎng	重奖
zhòngjīn	重金
zhòngjīnshǔ	重金属
zhòngjīngshí	重晶石
chóngjiǔ	重九
chóngjù	重聚
zhònglì	重力
zhònglìbà	重力坝
zhònglìchǎng	重力场
zhònglìjiāsùdù	重力加速度
zhònglìshìnéng	重力势能
zhònglìyí	重力仪
zhònglì	重利
zhòngliàng	重量
zhòngliàngjí	重量级
chóngluándiézhàng	重峦叠嶂
chóngmǎ	重码
chóngmíng	重名
zhòngmìngmíng	重命名
zhòngnánqīngnǚ	重男轻女
zhòngpái	重排
zhòngpàn	重判
zhòngpào	重炮
chóngqǐlúzào	重起炉灶
zhòngqīng	重氢
chóngqìng	重庆
chóngqìngchéng	重庆城
chóngqìnglù	重庆路
chóngqìngshì	重庆市
chóngqìngtuán	重庆团
zhòngqiūqū	重丘区
zhòngrèn	重任
zhòngshānjùnlǐng	重山峻岭
zhòngshāng	重伤
zhòngshǎng	重赏
chóngshēn	重申
chóngshěn	重审
chóngshēng	重生
chóngshēngfùmǔ	重生父母
zhòngshì	重视
chóngshì	重试
chóngshù	重述
zhòngshuǐ	重水
zhòngshuì	重税
chóngsūn	重孙
chóngsūnnǚ	重孙女
zhòngtànsuānyán	重碳酸盐
chóngtí	重提
zhòngtīng	重听
chóngtóu	重头
zhòngtóuxì	重头戏
zhòngtuō	重托
zhòngwàng	重望
chóngwéi	重围
chóngwēn	重温
chóngwēnjiùmèng	重温旧梦
zhòngwǔqì	重武器
zhòngwù	重物
chóngxiàn	重现
chóngxiāo	重霄
zhòngxiào	重孝
chóngxiě	重写
zhòngxīn	重心
chóngxīn	重新
chóngxīnpèizhì	重新配置
zhòngxíng	重刑
chóngxíng	重行
zhòngxíng	重型
chóngxiū	重修
chóngxiūjiùhǎo	重修旧好
chóngxuǎn	重选
zhòngyā	重压
zhòngyán	重言
chóngyán	重檐
chóngyǎn	重演
chóngyáng	重阳
chóngyángjié	重阳节
chóngyáng	重洋
chóngyàng	重样
zhòngyào	重要
zhòngyàoxìng	重要性
zhòngyìqīnglì	重义轻利
chóngyì	重译
zhòngyīn	重音
chóngyìn	重印
zhòngyǐng	重影
zhòngyòng	重用
zhòngyóu	重油
chóngyóu	重游
zhòngyútàishān	重于泰山
zhòngyuánsù	重元素
chóngyuán	重圆
zhòngzāiqū	重灾区
chóngzǎi	重载
zhòngzài	重在
zhòngzé	重责
zhòngniántǔ	重粘土
chóngzhāng	重张
chóngzhèn	重振
chóngzhènqígǔ	重振旗鼓
zhòngzhèn	重镇
chóngzhěng	重整
chóngzhěngqígǔ	重整旗鼓
zhòngzhì	重置
chóngchóng	重重
chóngchóngde	重重的
chóngchóngdiédié	重重叠叠
chóngzòu	重奏
chóngzúérlì	重足而立
chóngzǔ	重组
zhòngzuì	重罪
zhòngzuìqīngpàn	重罪轻判
chóngzuò	重做
zhōuchē	舟车
zhōuchēláodùn	舟车劳顿
zhōugǔ	舟骨
zhōushān	舟山
zhōubào	周报
zhōucháng	周长
zhōucháo	周朝
zhōudào	周到
zhōuēnlái	周恩来
zhōuérfùshǐ	周而复始
zhōujì	周济
zhōujiǎo	周角
zhōukān	周刊
zhōulǜ	周率
zhōumì	周密
zhōumò	周末
zhōunián	周年
zhōuqī	周期
zhōuqībiǎo	周期表
zhōuqīhánshù	周期函数
zhōuqīlǜ	周期律
zhōuqīxìng	周期性
zhōuquán	周全
zhōusuì	周岁
zhōuwéi	周围
zhōuwǔwáng	周武王
zhōuxiáng	周详
zhōuxuán	周旋
zhōuyóu	周游
zhōuzhé	周折
zhōuzhuǎn	周转
zhōuzhuǎnfáng	周转房
zhōuzhuǎnjīn	周转金
zhōuzhuǎnliàng	周转量
zhōuzhuǎnlǜ	周转率
zhōuzhuǎnqī	周转期
zhōuzǒnglǐ	周总理
zhōujìdǎodàn	洲际导弹
zhōushǎosēngduō	粥少僧多
zhóuduìchèn	轴对称
zhóugǎn	轴杆
zhóuwǎ	轴瓦
zhóuzhòng	轴重
zhǒumài	肘脉
zhǒuyèzhīhuàn	肘腋之患
zhòumà	咒骂
zhòuyǔ	咒语
zhòuwén	绉纹
zhòufúyèxíng	昼伏夜行
zhòujiān	昼间
zhòuyè	昼夜
zhòuwén	皱纹
zhòujiàng	骤降
zhòurán	骤然
zhòuyǔ	骤雨
zhūhóng	朱红
zhūhóngsè	朱红色
zhūménjiǔròuchòu	朱门酒肉臭
zhūquè	朱雀
zhūyánhèfà	朱颜鹤发
zhūluóxì	侏罗系
zhūqiúwúyǐ	诛求无已
zhūxīnzhīlùn	诛心之论
zhūlián	株连
zhūshìhuìshè	株式会社
zhūxì	株系
zhūzhōu	株洲
zhūbǎo	珠宝
zhūguāngbǎoqì	珠光宝气
zhūhǎi	珠海
zhūjiāng	珠江
zhūjiāngsānjiǎozhōu	珠江三角洲
zhūliánbìhé	珠联璧合
zhūyuányùrùn	珠圆玉润
zhūduō	诸多
zhūgě	诸葛
zhūgěliàng	诸葛亮
zhūgěliànghuì	诸葛亮会
zhūgōngdiào	诸宫调
zhūqīnhǎoyǒu	诸亲好友
zhūrú	诸如
zhūrúcǐlèi	诸如此类
zhūwèi	诸位
zhūzǐbǎijiā	诸子百家
zhūchǎng	猪场
zhūgé	猪革
zhūlóngcǎo	猪笼草
zhūpái	猪排
zhūjuàn	猪圈
zhūròu	猪肉
zhūshè	猪舍
zhūshí	猪食
zhūxuè	猪血
zhūjīcùnlěi	铢积寸累
zhūliǎngxīchèn	铢两悉称
zhūsīmǎjì	蛛丝马迹
zhúbāosōngmào	竹苞松茂
zhúbàopíngān	竹报平安
zhújiāng	竹浆
zhújiéshí	竹节石
zhúlándáshuǐ	竹篮打水
zhúlándǎshuǐyīchǎngkōng	竹篮打水一场空
zhúlóng	竹笼
zhúpái	竹排
zhúbù	逐步
zhúcì	逐次
zhúgè	逐个
zhújí	逐级
zhújiàn	逐渐
zhújù	逐句
zhúkèlìng	逐客令
zhúlùzhōngyuán	逐鹿中原
zhúnián	逐年
zhúrì	逐日
zhútiáo	逐条
zhúyī	逐一
zhúyuè	逐月
zhúzì	逐字
zhúzìzhújù	逐字逐句
zhǔbàn	主办
zhǔbànzhě	主办者
zhǔbiān	主编
zhǔchǎng	主场
zhǔchí	主持
zhǔchírén	主持人
zhǔcì	主次
zhǔcóng	主从
zhǔdānwèi	主单位
zhǔdǎo	主导
zhǔdiào	主调
zhǔdòng	主动
zhǔdòngmài	主动脉
zhǔdòngmàibàn	主动脉瓣
zhǔdòngmàigōng	主动脉弓
zhǔdòngquán	主动权
zhǔdòngxìng	主动性
zhǔfàn	主犯
zhǔgàn	主干
zhǔgàndào	主干道
zhǔgànlù	主干路
zhǔgànxiàn	主干线
zhǔgānglǎn	主钢缆
zhǔgōng	主攻
zhǔguān	主观
zhǔguānhuà	主观化
zhǔguānnéngdòngxìng	主观能动性
zhǔguānwéixīnzhǔyì	主观唯心主义
zhǔguānxìng	主观性
zhǔguānyìduàn	主观臆断
zhǔguānzhǔyì	主观主义
zhǔguǎn	主管
zhǔhángdào	主航道
zhǔhé	主和
zhǔjiàn	主见
zhǔjiàng	主将
zhǔjué	主角
zhǔjiāo	主教
zhǔjiàoliàn	主教练
zhǔjù	主句
zhǔkèdiāndǎo	主客颠倒
zhǔkèguān	主客观
zhǔkè	主课
zhǔlì	主力
zhǔlìjūn	主力军
zhǔliú	主流
zhǔmóu	主谋
zhǔpú	主仆
zhǔquán	主权
zhǔrén	主人
zhǔréngōng	主人公
zhǔrénwēng	主人翁
zhǔrèn	主任
zhǔrènkēyuán	主任科员
zhǔrènwěiyuán	主任委员
zhǔrènyīshī	主任医师
zhǔshí	主食
zhǔshípǐn	主食品
zhǔshuài	主帅
zhǔtí	主题
zhǔtíqǔ	主题曲
zhǔtǐ	主体
zhǔxí	主席
zhǔxítái	主席台
zhǔxítuán	主席团
zhǔxīngǔ	主心骨
zhǔxīngǔér	主心骨儿
zhǔxuánlǜ	主旋律
zhǔyǎn	主演
zhǔyào	主要
zhǔyàomáodùn	主要矛盾
zhǔyàowèntí	主要问题
zhǔyì	主义
zhǔyīnglì	主应力
zhúyǔ	主语
zhǔzǎi	主宰
zhǔzhànchǎng	主战场
zhǔzhāng	主张
zhǔzhì	主治
shǔdì	属地
shǔguó	属国
shǔmù	属目
shǔshí	属实
shǔxià	属下
shǔxìng	属性
shǔyú	属于
shǔyuán	属员
zhǔyuányǒuěr	属垣有耳
zhǔdòuránqí	煮豆燃萁
zhǔhèfénqín	煮鹤焚琴
zhǔfù	嘱咐
zhǔtuō	嘱托
zhǔmù	瞩目
zhùchù	住处
zhùdì	住地
zhùdú	住读
zhùdúshēng	住读生
zhùfáng	住房
zhùfánglǜ	住房率
zhùsù	住宿
zhùsùfèi	住宿费
zhùxiào	住校
zhùxiàoshēng	住校生
zhùyuàn	住院
zhùyuànchù	住院处
zhùzhái	住宅
zhùzháiqū	住宅区
zhùzháixiǎoqū	住宅小区
zhùzhǐ	住址
zhùzhǎng	助长
zhùjiào	助教
zhùjiéwéinüè	助桀为虐
zhùlǐ	助理
zhùpǎo	助跑
zhùrén	助人
zhùrénwéilè	助人为乐
zhùshǒu	助手
zhùwēi	助威
zhùxìng	助兴
zhùyán	助研
zhùzhòuwéinüè	助纣为虐
zhùcè	注册
zhùcèchù	注册处
zhùjiāng	注浆
zhùjiě	注解
zhùmíng	注明
zhùmù	注目
zhùshè	注射
zhùshì	注视
zhùshì	注释
zhùxiāo	注销
zhùyì	注意
zhùyìlì	注意力
zhùzhòng	注重
zhùbèi	贮备
zhùcáng	贮藏
zhùcángshì	贮藏室
zhùcún	贮存
zhùdiǎnhóng	贮点红
zhùliàng	贮量
zhùshuǐliàng	贮水量
zhùdì	驻地
zhùfáng	驻防
zhùhuá	驻华
zhùjīng	驻京
zhùjūn	驻军
zhùshǒu	驻守
zhùwài	驻外
zhùyányǒushù	驻颜有术
zhùzhā	驻扎
zhùsāi	柱塞
zhùshí	柱石
zhùfú	祝福
zhùhè	祝贺
zhùyuàn	祝愿
zhùchēng	著称
zhùlù	著录
zhùmíng	著名
zhùqì	著气
zhùshū	著书
zhùshūlìshuō	著书立说
zhùshù	著述
zhùwén	著文
zhùyì	著译
zhùzhě	著者
zhùzuò	著作
zhùzuòquán	著作权
zhùzuòrén	著作人
zhùlù	筑路
zhùshìdàomóu	筑室道谋
zhùchéngdàcuò	铸成大错
zhùgāng	铸钢
zhùmú	铸模
zhùshí	铸石
zhuāchāi	抓差
zhuāěrnáosāi	抓耳挠腮
zhuāgémìng	抓革命
zhuāhǎo	抓好
zhuāhuò	抓获
zhuājǐn	抓紧
zhuāzhù	抓住
zhuānàn	专案
zhuānchāi	专差
zhuāncháng	专长
zhuānchǎng	专场
zhuānchē	专车
zhuānchéng	专程
zhuānfā	专发
zhuānfǎng	专访
zhuāngān	专干
zhuāngòng	专供
zhuānguǎn	专管
zhuānguì	专柜
zhuānhào	专号
zhuānhèng	专横
zhuānhèngbáhù	专横跋扈
zhuānjī	专机
zhuānjí	专集
zhuānjí	专辑
zhuānjiā	专家
zhuānjiājú	专家局
zhuānjiāxìtǒng	专家系统
zhuānkān	专刊
zhuānkē	专科
zhuānkēxuéxiào	专科学校
zhuānkuǎn	专款
zhuānlán	专栏
zhuānlì	专利
zhuānlìfǎ	专利法
zhuānlìjú	专利局
zhuānlìquán	专利权
zhuānlùn	专论
zhuānmài	专卖
zhuānmén	专门
zhuānménhuà	专门化
zhuānménjīgòu	专门机构
zhuānmínghào	专名号
zhuānqū	专区
zhuānrén	专人
zhuānrèn	专任
zhuānshǔ	专署
zhuāntí	专题
zhuāntítǎolùn	专题讨论
zhuānwéi	专为
zhuānxiàn	专线
zhuānxiàng	专项
zhuānxīn	专心
zhuānxīnyīzhì	专心一志
zhuānxīnzhìzhì	专心致志
zhuānxiū	专修
zhuānyè	专业
zhuānyèduìkǒu	专业对口
zhuānyèhù	专业户
zhuānyèhuà	专业化
zhuānyèjiàoyù	专业教育
zhuānyèrényuán	专业人员
zhuānyèyínháng	专业银行
zhuānyèzhīshi	专业知识
zhuānyī	专一
zhuānyíng	专营
zhuānyòng	专用
zhuānyòngchē	专用车
zhuānyuán	专员
zhuānzé	专责
zhuānzhèng	专政
zhuānzhí	专职
zhuānzhì	专制
zhuānshǔjīngjìqū	专属经济区
zhuānzhù	专著
zhuānshí	砖石
zhuānwǎ	砖瓦
zhuānwǎchǎng	砖瓦厂
zhuānwǎfáng	砖瓦房
zhuǎn'ānjīméi	转氨基酶
zhuǎnbāo	转包
zhuǎnbēiwéixǐ	转悲为喜
zhuǎnbiàn	转变
zhuǎnbō	转播
zhuǎnbōtái	转播台
zhuǎnbōzhàn	转播站
zhuǎnchàlǜ	转差率
zhuǎnchǎn	转产
zhuǎnchǎng	转场
zhuǎnchāo	转抄
zhuǎnchē	转车
zhuǎnchēnwéixǐ	转嗔为喜
zhuǎnchǔ	转储
zhuǎncún	转存
zhuǎndá	转达
zhuǎndào	转道
zhuǎndì	转递
zhuǎndiào	转调
zhuǎndòngguànliàng	转动惯量
zhuǎnér	转而
zhuǎnfā	转发
zhuǎnfāqì	转发器
zhuǎngān	转干
zhuǎngǎng	转岗
zhuǎngào	转告
zhuǎngěi	转给
zhuǎnguānxi	转关系
zhuǎnguǐ	转轨
zhuǎnguòshēn	转过身
zhuǎnhù	转户
zhuǎnhuà	转化
zhuǎnhuàlǜ	转化率
zhuǎnhuán	转环
zhuǎnhuàn	转换
zhuǎnhuànduàncéng	转换断层
zhuǎnhuànlǜ	转换率
zhuǎnhuànqì	转换器
zhuǎnhuí	转回
zhuǎnhuì	转会
zhuǎnhuòwéifú	转祸为福
zhuǎnjī	转机
zhuǎnjīyīn	转基因
zhuǎnjīyīndòngwù	转基因动物
zhuǎnjīyīnzhíwù	转基因植物
zhuǎnjì	转寄
zhuǎnjià	转嫁
zhuǎnjiāo	转交
zhuánjiǎo	转角
zhuǎnjiē	转接
zhuǎnjiè	转借
zhuǎnjīn	转筋
zhuǎnjǔ	转矩
zhuǎnkǒu	转口
zhuǎnláizhuǎnqù	转来转去
zhuǎnlì	转隶
zhuánliǎn	转脸
zhuǎnlièdiǎn	转捩点
zhuǎnlú	转炉
zhuǎnlù	转录
zhuǎnlún	转轮
zhuǎnlúnshǒuqiāng	转轮手枪
zhuǎnmài	转卖
zhuǎnmàigěi	转卖给
zhuǎnmén	转门
zhuǎnnián	转年
zhuǎnniàn	转念
zhuànpán	转盘
zhuǎnqiān	转迁
zhuànquān	转圈
zhuǎnràng	转让
zhuǎnrù	转入
zhuǎnshēn	转身
zhuǎnshēng	转生
zhuǎnshì	转世
zhuǎnshìlíngtóng	转世灵童
zhuǎnshǒu	转手
zhuǎnshù	转述
zhuǎnshùn	转瞬
zhuǎnshùnjíshì	转瞬即逝
zhuǎnshùnjiān	转瞬间
zhuǎnshùnzhījiān	转瞬之间
zhuǎnsòng	转送
zhuànsù	转速
zhuànsùbǐ	转速比
zhuǎntái	转台
zhuǎntǐ	转体
zhuǎntiān	转天
zhuǎntóu	转头
zhuǎntuō	转托
zhuǎnwān	转弯
zhuǎnwānmòjiǎo	转弯抹角
zhuǎnwānzi	转弯子
zhuǎnwēiwéiān	转危为安
zhuǎnwéi	转为
zhuǎnwén	转文
zhuǎnxì	转系
zhuǎnxiàngdēng	转向灯
zhuǎnxiàngjià	转向架
zhuǎnxiàngqì	转向器
zhuǎnxiāo	转销
zhuǎnxiě	转写
zhuǎnháng	转行
zhuǎnxíng	转型
zhuǎnxué	转学
zhuǎnyǎn	转眼
zhuányǎnjiān	转眼间
zhuányǎnzhījiān	转眼之间
zhuǎnyè	转业
zhuǎnyèjūnrén	转业军人
zhuǎnyí	转移
zhuǎnyíxìng	转移性
zhuànyǐ	转椅
zhuǎnyì	转义
zhuǎnyì	转译
zhuǎnyǐn	转引
zhuǎnyòng	转用
zhuǎnyóu	转游
zhuǎnyuàn	转院
zhuǎnyùn	转运
zhuǎnyùnzhàn	转运站
zhuǎnyùn	转韵
zhuǎnzǎi	转载
zhuǎnzèng	转赠
zhuǎnzhàn	转战
zhuǎnzhànqiānlǐ	转战千里
zhuǎnzhàng	转帐
zhuǎnzhàngzhīpiào	转帐支票
zhuǎnzhàng	转账
zhuǎnzhé	转折
zhuǎnzhédiǎn	转折点
zhuǎnzhéqì	转辙器
zhuǎnzhěn	转诊
zhuǎnzhèng	转正
zhuǎnzhì	转制
zhuànzhóu	转轴
zhuǎnzhù	转注
zhuǎnzhuǎn	转转
zhuǎnzǐ	转子
zhuǎnzū	转租
zhuànqián	赚钱
zhuànqǔ	赚取
zhuàntou	赚头
zhuàngǎo	撰稿
zhuànwén	撰文
zhuànxiě	撰写
zhuànzhù	撰著
zhuāngjiɑrén	庄稼人
zhuāngyán	庄严
zhuāngzhòng	庄重
zhuāngzhòngxìng	庄重性
zhuāngbàn	装扮
zhuāngbèi	装备
zhuāngchē	装车
zhuāngdìng	装订
zhuāngfēngmàishǎ	装疯卖傻
zhuānghuò	装货
zhuāngjī	装机
zhuāngjīróngliàng	装机容量
zhuāngjiǎchē	装甲车
zhuāngjiǎshūsòngchē	装甲输送车
zhuāngjiǎ	装假
zhuānglóngzuòyǎ	装聋作哑
zhuānglóngzuòyǎ	装聋做哑
zhuāngménmiɑn	装门面
zhuāngmózuòyàng	装模作样
zhuāngpèi	装配
zhuāngpèixiàn	装配线
zhuāngqiāng	装腔
zhuāngqiāngzuòshì	装腔作势
zhuāngshénnòngguǐ	装神弄鬼
zhuāngshì	装饰
zhuāngshù	装束
zhuāngxiāng	装箱
zhuāngxiè	装卸
zhuāngxièchē	装卸车
zhuāngxiū	装修
zhuāngyǒu	装有
zhuāngyùn	装运
zhuāngzài	装载
zhuāngzàijī	装载机
zhuāngzàiliàng	装载量
zhuāngzhì	装置
zhuāngzuò	装作
zhuàngdà	壮大
zhuàngdǎn	壮胆
zhuàngguān	壮观
zhuàngjǔ	壮举
zhuàngkuò	壮阔
zhuànglì	壮丽
zhuàngliè	壮烈
zhuàngnián	壮年
zhuàngxì	壮戏
zhuàngyǔ	壮语
